sample_id,smell_type,annotator_id,label
1,nested_view,A1,0
1,mutable_view,A1,0
1,blocking_view,A1,0
1,nested_view,A2,0
1,mutable_view,A2,0
1,blocking_view,A2,0
1,nested_view,A3,0
1,mutable_view,A3,0
1,blocking_view,A3,0
1,nested_view,A4,0
1,mutable_view,A4,0
1,blocking_view,A4,0
1,nested_view,A5,0
1,mutable_view,A5,0
1,blocking_view,A5,0
1,nested_view,A6,0
1,mutable_view,A6,0
1,blocking_view,A6,0
2,nested_view,A1,0
2,mutable_view,A1,0
2,blocking_view,A1,0
2,nested_view,A2,0
2,mutable_view,A2,0
2,blocking_view,A2,0
2,nested_view,A3,0
2,mutable_view,A3,1
2,blocking_view,A3,0
2,nested_view,A4,0
2,mutable_view,A4,1
2,blocking_view,A4,0
2,nested_view,A5,0
2,mutable_view,A5,0
2,blocking_view,A5,0
2,nested_view,A6,0
2,mutable_view,A6,1
2,blocking_view,A6,0
3,nested_view,A1,1
3,mutable_view,A1,1
3,blocking_view,A1,1
3,nested_view,A2,1
3,mutable_view,A2,0
3,blocking_view,A2,0
3,nested_view,A3,1
3,mutable_view,A3,1
3,blocking_view,A3,0
3,nested_view,A4,0
3,mutable_view,A4,1
3,blocking_view,A4,0
3,nested_view,A5,1
3,mutable_view,A5,1
3,blocking_view,A5,1
3,nested_view,A6,1
3,mutable_view,A6,1
3,blocking_view,A6,0
4,nested_view,A1,0
4,mutable_view,A1,1
4,blocking_view,A1,1
4,nested_view,A2,0
4,mutable_view,A2,0
4,blocking_view,A2,0
4,nested_view,A3,0
4,mutable_view,A3,1
4,blocking_view,A3,0
4,nested_view,A4,0
4,mutable_view,A4,1
4,blocking_view,A4,0
4,nested_view,A5,0
4,mutable_view,A5,0
4,blocking_view,A5,0
4,nested_view,A6,0
4,mutable_view,A6,0
4,blocking_view,A6,0
5,nested_view,A1,0
5,mutable_view,A1,0
5,blocking_view,A1,1
5,nested_view,A2,0
5,mutable_view,A2,0
5,blocking_view,A2,0
5,nested_view,A3,0
5,mutable_view,A3,0
5,blocking_view,A3,0
5,nested_view,A4,0
5,mutable_view,A4,0
5,blocking_view,A4,0
5,nested_view,A5,0
5,mutable_view,A5,0
5,blocking_view,A5,0
5,nested_view,A6,0
5,mutable_view,A6,0
5,blocking_view,A6,0
6,nested_view,A1,0
6,mutable_view,A1,1
6,blocking_view,A1,1
6,nested_view,A2,0
6,mutable_view,A2,0
6,blocking_view,A2,0
6,nested_view,A3,0
6,mutable_view,A3,1
6,blocking_view,A3,0
6,nested_view,A4,0
6,mutable_view,A4,1
6,blocking_view,A4,0
6,nested_view,A5,0
6,mutable_view,A5,0
6,blocking_view,A5,0
6,nested_view,A6,0
6,mutable_view,A6,1
6,blocking_view,A6,0
7,nested_view,A1,0
7,mutable_view,A1,0
7,blocking_view,A1,1
7,nested_view,A2,0
7,mutable_view,A2,0
7,blocking_view,A2,0
7,nested_view,A3,0
7,mutable_view,A3,0
7,blocking_view,A3,1
7,nested_view,A4,0
7,mutable_view,A4,0
7,blocking_view,A4,0
7,nested_view,A5,0
7,mutable_view,A5,0
7,blocking_view,A5,1
7,nested_view,A6,0
7,mutable_view,A6,1
7,blocking_view,A6,0
8,nested_view,A1,0
8,mutable_view,A1,1
8,blocking_view,A1,1
8,nested_view,A2,0
8,mutable_view,A2,0
8,blocking_view,A2,0
8,nested_view,A3,0
8,mutable_view,A3,1
8,blocking_view,A3,0
8,nested_view,A4,0
8,mutable_view,A4,1
8,blocking_view,A4,0
8,nested_view,A5,0
8,mutable_view,A5,0
8,blocking_view,A5,1
8,nested_view,A6,0
8,mutable_view,A6,1
8,blocking_view,A6,0
9,nested_view,A1,1
9,mutable_view,A1,1
9,blocking_view,A1,1
9,nested_view,A2,1
9,mutable_view,A2,0
9,blocking_view,A2,0
9,nested_view,A3,1
9,mutable_view,A3,0
9,blocking_view,A3,0
9,nested_view,A4,0
9,mutable_view,A4,1
9,blocking_view,A4,0
9,nested_view,A5,1
9,mutable_view,A5,1
9,blocking_view,A5,1
