candidate_project_id,project_name,repository_url,lines_of_code,percentile_rank
1,e-quran app,https://github.com/ya27hw/equran_app,34530,91.1
2,Movies App,https://github.com/vellt/Movies-App-Flutter.git,1835,26.8
3,MMAS: Money Tracker,https://github.com/floranguyen0/mmas-money-tr                                                                                                                                       acker,9760,66.1
4,EasyWeather,https://github.com/tejasbadone/easyweather,1301,14.3
5,FlutterNewsApp,https://github.com/theindianappguy/FlutterNewsApp,547,1.8
6,Ez-Ticket,https://github.com/arafaysaleem/ez_tickets_app,12871,80.4
7,Share a Cab,https://github.com/devclub-iitd/ShareACab.git,6817,58.9
8,Movie Lab,https://github.com/ErfanRht/MovieLab,12211,78.6
9,Covid 19 Tracker,https://github.com/adityanjr/covid19-tracker,2052,28.6
10,Healthy App,https://github.com/malidalgic/HealthyLifeStyleApp,8398,64.3
11,Smart Presence,https://github.com/D4marp/Mobile--App-OTOBOOK-.git,18439,85.7
12,Anti Cheat Exam,https://github.com/prathamesh-mutkure/anti-cheat-exam-app,1829,25.0
13,Weather App,https://github.com/MonsieurZbanowanYY/Weather-App-UI-Flutter,624,5.4
14,provider app,https://github.com/KenAragorn/create_flutter_provider_app.git,1730,23.2
15,twitter clone,https://github.com/TheAlphamerc/flutter_twitter_clone,14215,82.1
16,Film Update,https://github.com/HyIamJu/FilmUpdate.git,5698,51.8
17,Movie App,https://github.com/arafatamim/flutter-movies,8044,62.5
18,Time Tracking App,https://github.com/hamaluik/timecop,10120,69.6
19,Chat desk,https://github.com/omegaui/chat_desk.git,3647,44.6
20,Home Service App,https://github.com/afgprogrammer/Flutter-home-service-app.git,1126,8.9
21,Covid Tracker,https://github.com/tayormi/covid_tracker.git,3333,37.5
22,Currency Converter,https://github.com/AbdelrahmanFouad1/Currency-Converter.git,3642,42.9
23,Spotube,https://github.com/KRTirtho/spotube,120843,98.2
24,Terminal Emulator,https://github.com/KRTirtho/wives.git,4590,48.2
25,Flutter Social Chat,https://github.com/FlutterWiz/flutter_social_chat.git,10622,73.2
26,Quizz App,https://github.com/bayuhadi863/quiz-app,5788,53.6
27,Edutiv App,https://github.com/edutiv/edutiv-flutter/tree/master,6417,57.1
28,Aplikasi Video Conference,https://github.com/Noorhan-Yaseen/Video-conference-app-Flutter-,1393,16.1
29,Image Gallery App,https://github.com/aaronfebrian/image-gallery-manager,1548,19.6
30,Chat App,https://github.com/kuldii/chat_apps,2692,33.9
31,Cross platform manager (phone assistant),https://github.com/air-controller/air-controller-desktop,31268,89.3
32,Wispar,https://github.com/scriptbash/wispar,22991,87.5
33,E-commerce Complete Flutter UI,https://github.com/abuanwar072/E-commerce-Complete-Flutter-UI,7753,60.7
34,E-commerce app,https://github.com/woosignal/flutter-woocommerce-app,16128,83.9
35,Responsive Dashboard,https://github.com/abuanwar072/Flutter-Responsive-Admin-Panel-or-Dashboard,1042,7.1
36,Bagisto,https://github.com/bagisto/opensource-ecommerce-mobile-app.git,52546,94.6
37,Medics - Doctor Consultant App,https://github.com/MuhammadDanishMalik/Medics.git,6311,55.4
38,E-Commerce,https://github.com/TheAlphamerc/flutter_ecommerce_app.git,1599,21.4
39,Task Management,https://github.com/Hamad-Anwar/Task-Sync-Pro-V2.git,2534,32.1
40,chat app,https://github.com/iqfareez/flutter_chatgpt,594,3.6
41,Ready2Go,https://gitlab.com/iqbalrahmatullah/a2-ready2go,10632,75.0
42,"Islamic App (Quran, Hadist,dll)",https://github.com/muhammadtalhasultan/Sirat-E-Mustaqeem,11673,76.8
43,Open Food Facts,https://github.com/openfoodfacts/smooth-app,45925,92.9
44,Workout Tracker,https://github.com/wger-project/flutter,55031,96.4
45,Admin Portal Invoice,https://github.com/invoiceninja/admin-portal.git,197435,100.0
46,Netflix Clone,https://github.com/devdennysegura/flutter-netflix-clone,3492,41.1
47,ChatgPT flutter app,https://github.com/SnowStar0423/ChatGPT-Flutter-App,3294,35.7
48,Clone UI Gojek,https://github.com/ranggadev/gojek-ui-clone,1164,12.5
49,Mobile IoT Device,https://github.com/Wappsto/mobile-iot-device,5240,50.0
50,Spotify Clone UI,https://github.com/pandudwisaputra/spotify_clone,1504,17.9
51,Money Tracker,https://github.com/floranguyen0/mmas-money-tracker,9760,66.1
52,Instagram Clone,https://github.com/RivaanRanawat/instagram-flutter-clone,2444,30.4
53,Pokedex App,https://github.com/hungps/flutter_pokedex,10545,71.4
54,Flutter Task Manager,https://github.com/aratheunseen/flutter-task-manager,1132,10.7
55,Flutter Go,https://github.com/alibaba/flutter-go,3470,39.3
56,presensi app,https://github.com/dawamuciil/presensi,4146,46.4
57,BMI Calculator,https://github.com/imSanjaySoni/BMI-Calculator-with-flutter,510,0.0
